Name,Wert,Räuber 1,Räuber 2
AA0,996.5726562520153,0,1
AA1,678.4051371593381,0,1
AA2,351.8447398247302,0,1
AA3,213.78449301963175,1,0
AA4,181.1796298416013,1,0
AA5,40.16512155841379,1,0
AA6,350.3679236659121,0,1
AA7,691.1588093369551,1,0
AA8,420.10014593734223,0,1
AA9,767.2966626769434,1,0
AA10,878.3816728723477,1,0
AA11,265.10285119237153,0,1
AA12,174.6928394371542,1,0
AA13,150.85284577374702,1,0
AA14,182.3363918785028,0,1
AA15,147.46337292682654,1,0
null,Summe,3244.975447443621,3244.729845910212,0.24560153340871693
