Name,Wert,Räuber 1,Räuber 2
BETA0,0.4627222151331202,1,0
BETA1,0.6734203019018778,0,1
BETA2,0.2228758715506729,1,0
BETA3,0.5264849023894929,1,0
BETA4,0.4157729376270845,0,1
BETA5,0.2425057380109747,0,1
BETA6,0.6360074247279749,0,1
BETA7,0.19004881087235384,0,1
BETA8,0.6839350078179228,0,1
BETA9,0.34542798395542446,1,0
BETA10,0.10596004162197764,1,0
BETA11,0.1765222282191789,0,1
BETA12,0.12595153050515293,1,0
BETA13,0.216373059493261,1,0
BETA14,0.2530399341009821,1,0
BETA15,0.7593666227118063,1,0
,Summe,3.0182021614618906,3.0182124491773674,1.0287715476842152E-5
