Name,Wert,Räuber 1,Räuber 2
LOGNORM0,27.78403771147069,1,0
LOGNORM1,25.032463026347326,1,0
LOGNORM2,113.43968941204041,1,0
LOGNORM3,62.40408754255614,0,1
LOGNORM4,18.976607908614582,1,0
LOGNORM5,7.2862221317147196,1,0
LOGNORM6,100.4615239636317,0,1
LOGNORM7,41.69609639834366,0,1
LOGNORM8,28.070382419683863,0,1
LOGNORM9,17.82810112012677,1,0
LOGNORM10,12.988277230330032,1,0
LOGNORM11,14.677191057743423,1,0
LOGNORM12,18.766093135821947,1,0
LOGNORM13,24.133356534175828,0,1
,Summe,256.7786827342099,256.7654468583912,0.013235875818679688
