Name,Wert,Räuber 1,Räuber 2
AA0,730.4302967434272,0,1
AA1,257.8027905957804,0,1
AA2,59.20196581124459,1,0
AA3,244.11725056425314,1,0
AA4,818.8090228552317,1,0
AA5,370.6111260136414,0,1
AA6,856.2829329414598,0,1
AA7,714.9846763958975,0,1
AA8,287.2568868144405,0,1
AA9,916.2469512617624,1,0
AA10,8.276148425003683,1,0
AA11,440.62248045442266,1,0
AA12,31.333948495113173,0,1
AA13,922.7110770321573,1,0
AA14,962.1037571047796,0,1
AA15,800.7810217942994,1,0
null,Summe,4210.7659181983745,4210.806415104539,0.040496906164662505
