Name,Wert,Räuber 1,Räuber 2
AA0,730.4302967434272,0,1
AA1,257.8027905957804,0,1
AA2,59.20196581124459,1,0
AA3,244.11725056425314,0,1
AA4,818.8090228552317,1,0
AA5,370.6111260136414,1,0
AA6,856.2829329414598,0,1
AA7,714.9846763958975,0,1
AA8,287.2568868144405,0,1
AA9,916.2469512617624,1,0
AA10,8.276148425003683,0,1
AA11,440.62248045442266,1,0
AA12,31.333948495113173,1,0
AA13,922.7110770321573,0,1
AA14,962.1037571047796,1,0
AA15,800.7810217942994,1,0
AA16,436.9028358068231,1,0
AA17,814.7494366843138,0,1
,Summe,4836.613109597318,4836.611496196733,0.001613400584574265
