Name,Wert,Räuber 1,Räuber 2
BETA0,0.3616527963091043,1,0
BETA1,0.4375855942280006,0,1
BETA2,0.2041245991647785,0,1
BETA3,0.2550255083978628,0,1
BETA4,0.22140129053337887,0,1
BETA5,0.1032615005848555,1,0
BETA6,0.19146321990360074,1,0
BETA7,0.6175052138984003,0,1
BETA8,0.3497586215105735,1,0
BETA9,0.5143084971047899,0,1
BETA10,0.14720290891860477,1,0
BETA11,0.20775534848017477,1,0
BETA12,0.2854368248600148,1,0
BETA13,0.6031188393505448,1,0
null,Summe,2.249650059917473,2.249950703327211,3.0064340973767756E-4
