Name,Wert,Räuber 1,Räuber 2
LOGNORM0,27.450280248573716,0,1
LOGNORM1,28.75411524237797,1,0
LOGNORM2,6.155858398212487,1,0
LOGNORM3,72.56842595806486,0,1
LOGNORM4,3.346309760007433,1,0
LOGNORM5,16.10880237353872,0,1
LOGNORM6,15.093609679903143,1,0
LOGNORM7,10.31117273392006,0,1
LOGNORM8,14.903690600324213,1,0
LOGNORM9,32.53089278067987,1,0
LOGNORM10,20.42156742784664,0,1
LOGNORM11,15.938356305992407,0,1
LOGNORM12,17.132579482269513,1,0
LOGNORM13,79.91019352823974,1,0
LOGNORM14,10.84448392767859,0,1
LOGNORM15,24.165979243428005,0,1
,Summe,197.82724947201436,197.80906821904304,0.018181252971317008
