Name,Wert,Räuber 1,Räuber 2
NORMAL0,0.2834059453005522,1,0
NORMAL1,0.8043111148507417,1,0
NORMAL2,0.1152646586831364,0,1
NORMAL3,0.36601968880329916,1,0
NORMAL4,0.002039501227199869,1,0
NORMAL5,0.1306872487824433,0,1
NORMAL6,0.6676304113846598,1,0
NORMAL7,0.0689027151520949,1,0
NORMAL8,0.4015268405194893,1,0
NORMAL9,0.7725637541031405,0,1
NORMAL10,0.3743475115463437,0,1
NORMAL11,0.7374474496118802,0,1
NORMAL12,0.40497000791926496,1,0
NORMAL13,0.02509844332367961,1,0
NORMAL14,0.10335735420997616,1,0
NORMAL15,0.9969337091125601,0,1
,Summe,3.1272620226909567,3.127244331839504,1.7690851452645262E-5
